Fecha,Institución,Pacientes,Positivos,En_estudio
21/03/2020,SSJ,0,0,0
21/03/2020,HCG,2,0,2
21/03/2020,ISSSTE,0,0,0
21/03/2020,IMSS,0,0,0
21/03/2020,Privados,0,0,0
22/03/2020,SSJ,0,0,2
22/03/2020,HCG,3,0,2
22/03/2020,ISSSTE,1,1,0
22/03/2020,IMSS,0,0,0
22/03/2020,Privados,0,0,0
23/03/2020,SSJ,1,0,1
23/03/2020,HCG,3,0,0
23/03/2020,ISSSTE,1,1,0
23/03/2020,IMSS,0,0,0
23/03/2020,Privados,0,0,0
24/03/2020,SSJ,2,0,2
24/03/2020,HCG,2,0,2
24/03/2020,ISSSTE,1,1,0
24/03/2020,IMSS,0,0,0
24/03/2020,Privados,0,0,0
25/03/2020,SSJ,2,0,2
25/03/2020,HCG,2,0,1
25/03/2020,ISSSTE,1,1,0
25/03/2020,IMSS,0,0,0
25/03/2020,Privados,0,0,0
26/03/2020,SSJ,4,0,4
26/03/2020,HCG,4,0,3
26/03/2020,ISSSTE,1,1,0
26/03/2020,IMSS,0,0,0
26/03/2020,Privados,0,0,0
27/03/2020,SSJ,1,0,1
27/03/2020,HCG,7,0,6
27/03/2020,ISSSTE,1,1,0
27/03/2020,IMSS,0,0,0
27/03/2020,Privados,2,0,1
28/03/2020,SSJ,3,0,3
28/03/2020,HCG,8,0,7
28/03/2020,ISSSTE,0,0,1
28/03/2020,IMSS,1,1,0
28/03/2020,Privados,2,0,1
29/03/2020,SSJ,6,0,6
29/03/2020,HCG,9,0,9
29/03/2020,ISSSTE,1,0,1
29/03/2020,IMSS,1,1,0
29/03/2020,Privados,3,0,3
30/03/2020,SSJ,7,0,7
30/03/2020,HCG,9,0,9
30/03/2020,ISSSTE,3,0,3
30/03/2020,IMSS,1,1,0
30/03/2020,Privados,8,1,1
31/03/2020,SSJ,8,0,8
31/03/2020,HCG,9,0,9
31/03/2020,ISSSTE,3,0,3
31/03/2020,IMSS,12,2,10
31/03/2020,Privados,10,1,5
01/04/2020,SSJ,10,0,10
01/04/2020,HCG,14,0,14
01/04/2020,ISSSTE,3,0,3
01/04/2020,IMSS,12,2,10
01/04/2020,Privados,3,2,0
02/04/2020,SSJ,7,0,7
02/04/2020,HCG,13,0,13
02/04/2020,ISSSTE,2,0,2
02/04/2020,IMSS,12,2,10
02/04/2020,Privados,28,2,2
03/04/2020,SSJ,6,0,6
03/04/2020,HCG,14,2,12
03/04/2020,ISSSTE,2,0,2
03/04/2020,IMSS,12,2,10
03/04/2020,Privados,16,2,2
04/04/2020,SSJ,12,1,11
04/04/2020,HCG,11,2,9
04/04/2020,ISSSTE,2,0,2
04/04/2020,IMSS,12,2,10
04/04/2020,Privados,3,2,1
05/04/2020,SSJ,11,1,10
05/04/2020,HCG,16,2,14
05/04/2020,ISSSTE,2,0,2
05/04/2020,IMSS,12,2,10
05/04/2020,Privados,4,1,2
06/04/2020,SSJ,15,1,14
06/04/2020,HCG,14,3,11
06/04/2020,ISSSTE,2,0,2
06/04/2020,IMSS,12,2,10
06/04/2020,Privados,5,1,4
07/04/2020,SSJ,20,3,17
07/04/2020,HCG,13,3,10
07/04/2020,ISSSTE,2,0,2
07/04/2020,IMSS,12,2,10
07/04/2020,Privados,5,1,3
08/04/2020,SSJ,27,2,25
08/04/2020,HCG,14,5,9
08/04/2020,ISSSTE,2,0,2
08/04/2020,IMSS,12,2,10
08/04/2020,Privados,5,1,3
09/04/2020,SSJ,24,1,23
09/04/2020,HCG,13,5,8
09/04/2020,ISSSTE,2,0,2
09/04/2020,IMSS,12,2,10
09/04/2020,Privados,2,0,2
10/04/2020,SSJ,20,1,19
10/04/2020,HCG,16,2,14
10/04/2020,ISSSTE,2,0,2
10/04/2020,IMSS,12,2,10
10/04/2020,Privados,1,0,1
11/04/2020,SSJ,18,2,16
11/04/2020,HCG,7,2,5
11/04/2020,ISSSTE,0,0,0
