Fecha,Pacientes,Positivos,En_estudio
21/03/2020,0,0,0
21/03/2020,2,0,2
21/03/2020,0,0,0
21/03/2020,0,0,0
21/03/2020,0,0,0
22/03/2020,0,0,2
22/03/2020,3,0,2
22/03/2020,1,1,0
22/03/2020,0,0,0
22/03/2020,0,0,0
23/03/2020,1,0,1
23/03/2020,3,0,0
23/03/2020,1,1,0
23/03/2020,0,0,0
23/03/2020,0,0,0
24/03/2020,2,0,2
24/03/2020,2,0,2
24/03/2020,1,1,0
24/03/2020,0,0,0
24/03/2020,0,0,0
25/03/2020,2,0,2
25/03/2020,2,0,1
25/03/2020,1,1,0
25/03/2020,0,0,0
25/03/2020,0,0,0
26/03/2020,4,0,4
26/03/2020,4,0,3
26/03/2020,1,1,0
26/03/2020,0,0,0
26/03/2020,0,0,0
27/03/2020,1,0,1
27/03/2020,7,0,6
27/03/2020,1,1,0
27/03/2020,0,0,0
27/03/2020,2,0,1
28/03/2020,3,0,3
28/03/2020,8,0,7
28/03/2020,0,0,1
28/03/2020,1,1,0
28/03/2020,2,0,1
29/03/2020,6,0,6
29/03/2020,9,0,9
29/03/2020,1,0,1
29/03/2020,1,1,0
29/03/2020,3,0,3
30/03/2020,7,0,7
30/03/2020,9,0,9
30/03/2020,3,0,3
30/03/2020,1,1,0
30/03/2020,8,1,1
31/03/2020,8,0,8
31/03/2020,9,0,9
31/03/2020,3,0,3
31/03/2020,12,2,10
31/03/2020,10,1,5
01/04/2020,10,0,10
01/04/2020,14,0,14
01/04/2020,3,0,3
01/04/2020,12,2,10
01/04/2020,3,2,0
02/04/2020,7,0,7
02/04/2020,13,0,13
02/04/2020,2,0,2
02/04/2020,12,2,10
02/04/2020,28,2,2
03/04/2020,6,0,6
03/04/2020,14,2,12
03/04/2020,2,0,2
03/04/2020,12,2,10
03/04/2020,16,2,2
04/04/2020,12,1,11
04/04/2020,11,2,9
04/04/2020,2,0,2
04/04/2020,12,2,10
04/04/2020,3,2,1
05/04/2020,11,1,10
05/04/2020,16,2,14
05/04/2020,2,0,2
05/04/2020,12,2,10
05/04/2020,4,1,2
06/04/2020,15,1,14
06/04/2020,14,3,11
06/04/2020,2,0,2
06/04/2020,12,2,10
06/04/2020,5,1,4
07/04/2020,20,3,17
07/04/2020,13,3,10
07/04/2020,2,0,2
07/04/2020,12,2,10
07/04/2020,5,1,3
08/04/2020,27,2,25
08/04/2020,14,5,9
08/04/2020,2,0,2
08/04/2020,12,2,10
08/04/2020,5,1,3
09/04/2020,24,1,23
09/04/2020,13,5,8
09/04/2020,2,0,2
09/04/2020,12,2,10
09/04/2020,2,0,2
10/04/2020,20,1,19
10/04/2020,16,2,14
10/04/2020,2,0,2
10/04/2020,12,2,10
10/04/2020,1,0,1
11/04/2020,18,2,16
11/04/2020,7,2,5
11/04/2020,0,0,0
11/04/2020,0,0,0
11/04/2020,0,0,0
12/04/2020,14,2,12
12/04/2020,9,2,7
12/04/2020,0,0,0
12/04/2020,0,0,0
12/04/2020,3,1,3
